Q,Question,Mean,Median,Mode,Sample SD,Min,Max,1,2,3,4,5,Positive 4-5,Neutral 3,Negative 1-2
1,Understanding,4.7500,5.0,5,0.4423,4,5,0,0,0,6,18,24,0,0
2,Confidence,4.5417,5.0,5,0.5090,4,5,0,0,0,11,13,24,0,0
3,Relevance,4.6667,5.0,5,0.4815,4,5,0,0,0,8,16,24,0,0
4,Knowledge / skills,4.6667,5.0,5,0.4815,4,5,0,0,0,8,16,24,0,0
5,Facilitator clarity,4.6667,5.0,5,0.4815,4,5,0,0,0,8,16,24,0,0
6,Examples / activities,4.4583,5.0,5,0.7211,3,5,0,0,3,7,14,21,3,0
7,Organization,4.5000,5.0,5,0.7223,3,5,0,0,3,6,15,21,3,0
8,Difficulty fit,4.5000,5.0,5,0.5898,3,5,0,0,1,10,13,23,1,0
9,Real-world application,4.7083,5.0,5,0.4643,4,5,0,0,0,7,17,24,0,0
10,Overall satisfaction,4.7500,5.0,5,0.5316,3,5,0,0,1,4,19,23,1,0
